sex,math,income,cappun,height,idealheight,diff,kkardashtemp
female,no,49200,oppose,62.3,64,1.7000000000000028,17
male,no,91500,oppose,72.3,74,1.7000000000000028,96
male,no,116800,oppose,68.1,71,2.9000000000000057,84
female,no,18700,favor,63.2,65,1.7999999999999972,4
male,no,51100,oppose,72.2,75,2.799999999999997,66
male,no,24500,oppose,70.7,74,3.299999999999997,91
female,no,57400,favor,62.4,64,1.6000000000000014,21
male,no,51500,oppose,74.8,77,2.200000000000003,95
male,no,55100,oppose,69.1,71,1.9000000000000057,96
male,no,40900,oppose,73.4,76,2.5999999999999943,91
male,no,59600,oppose,69,72,3,99
female,no,23900,favor,65,67,2,24
female,no,17700,oppose,66,67,1,2
female,no,141300,oppose,64.6,66,1.4000000000000057,46
male,no,4400,oppose,65.3,68,2.700000000000003,99
female,no,65500,oppose,64.7,66,1.2999999999999972,8
male,no,54400,oppose,78.3,81,2.700000000000003,74
male,no,20900,oppose,70.2,72,1.7999999999999972,99
male,no,41100,oppose,68.6,71,2.4000000000000057,99
female,no,22900,favor,62.6,64,1.3999999999999986,4
male,no,85700,oppose,64.2,66,1.7999999999999972,93
female,no,29400,favor,68.8,70,1.2000000000000028,3
female,no,15900,favor,61.5,63,1.5,33
male,no,46300,oppose,73.2,75,1.7999999999999972,92
male,no,49200,favor,74.5,77,2.5,97
male,no,70900,oppose,72.6,75,2.4000000000000057,97
male,no,51500,oppose,72.4,75,2.5999999999999943,95
male,no,40700,oppose,67.2,70,2.799999999999997,86
male,no,16400,favor,67.2,70,2.799999999999997,99
male,no,49900,oppose,76.6,79,2.4000000000000057,95
female,no,15900,oppose,67.9,70,2.0999999999999943,14
male,no,74400,favor,69,72,3,94
male,no,40300,oppose,72,75,3,89
male,no,31100,favor,66.7,70,3.299999999999997,94
male,no,7500,oppose,70.6,73,2.4000000000000057,57
male,no,141200,favor,71.1,74,2.9000000000000057,99
female,no,15000,oppose,62.7,64,1.2999999999999972,4
female,no,33700,oppose,65.5,67,1.5,8
male,no,70400,oppose,65.4,68,2.5999999999999943,86
female,no,64500,favor,60.6,62,1.3999999999999986,8
male,no,81700,oppose,63.4,66,2.6000000000000014,97
female,no,45700,favor,67.3,68,0.7000000000000028,3
female,no,16300,oppose,66.7,68,1.2999999999999972,5
male,no,17500,oppose,66.2,69,2.799999999999997,80
female,no,17600,oppose,65.3,66,0.7000000000000028,14
male,no,7100,oppose,72.8,75,2.200000000000003,87
female,no,34200,oppose,65.5,68,2.5,7
female,no,19100,favor,69.7,71,1.2999999999999972,19
female,no,29600,oppose,62.2,64,1.7999999999999972,27
female,no,48100,oppose,67.4,69,1.5999999999999943,12
male,no,24100,favor,70.5,73,2.5,93
male,no,51700,favor,69.7,72,2.299999999999997,79
female,no,29400,favor,63.9,66,2.1000000000000014,0
female,no,17900,oppose,67,69,2,3
male,no,11200,favor,69.2,72,2.799999999999997,78
male,no,32200,oppose,70.3,73,2.700000000000003,92
female,no,38200,oppose,62.4,64,1.6000000000000014,3
female,no,14200,oppose,60,62,2,7
female,no,62900,oppose,68.3,69,0.7000000000000028,16
male,no,44500,oppose,71.1,74,2.9000000000000057,99
male,no,22100,oppose,74.5,77,2.5,91
female,no,900,oppose,64.2,66,1.7999999999999972,30
male,no,76900,oppose,66.6,69,2.4000000000000057,90
female,no,13700,oppose,63.5,65,1.5,4
male,no,36700,oppose,72.4,75,2.5999999999999943,91
female,no,26400,oppose,63.5,66,2.5,20
male,no,31100,favor,73.8,76,2.200000000000003,96
female,no,66300,favor,59.4,61,1.6000000000000014,10
female,no,142800,oppose,65.3,66,0.7000000000000028,12
male,no,25900,oppose,73.8,76,2.200000000000003,99
female,no,22800,oppose,65.5,67,1.5,1
male,no,24200,favor,66,68,2,98
female,no,42200,favor,57.9,60,2.1000000000000014,5
female,no,35600,oppose,66.3,68,1.7000000000000028,16
female,no,26800,favor,62.8,64,1.2000000000000028,0
female,no,87900,oppose,54.8,56,1.2000000000000028,3
female,yes,40500,oppose,70.3,72,1.7000000000000028,0
female,no,168700,oppose,68,70,2,10
female,no,33600,favor,61.7,63,1.2999999999999972,0
male,no,93300,oppose,70.4,73,2.5999999999999943,82
male,no,40500,oppose,66.4,69,2.5999999999999943,95
female,no,51000,oppose,65.9,68,2.0999999999999943,5
female,no,15800,favor,65.2,67,1.7999999999999972,3
male,no,9000,oppose,69,72,3,97
male,no,37000,favor,75.3,78,2.700000000000003,94
female,no,95000,oppose,62.7,64,1.2999999999999972,6
female,no,8700,oppose,59.4,61,1.6000000000000014,13
male,no,8300,favor,70.4,73,2.5999999999999943,80
female,no,39200,favor,62.7,64,1.2999999999999972,21
female,no,40500,oppose,67.9,69,1.0999999999999943,25
male,no,24200,oppose,68.1,70,1.9000000000000057,90
female,no,18000,favor,59.7,62,2.299999999999997,1
female,no,7000,oppose,68.4,70,1.5999999999999943,26
male,no,10300,oppose,68.3,71,2.700000000000003,88
female,no,6600,oppose,66.2,67,0.7999999999999972,18
female,yes,38400,oppose,62.6,64,1.3999999999999986,3
female,no,72000,oppose,62.6,64,1.3999999999999986,28
female,no,4000,oppose,65.4,67,1.5999999999999943,23
male,no,44700,oppose,69.8,73,3.200000000000003,85
male,no,21500,oppose,69.5,72,2.5,91
female,no,22800,oppose,68.6,70,1.4000000000000057,16
male,yes,59600,oppose,70,72,2,93
male,no,73700,oppose,69.6,72,2.4000000000000057,89
male,no,23600,favor,75.3,77,1.7000000000000028,90
female,no,70000,oppose,67.2,68,0.7999999999999972,6
female,no,30300,oppose,62.9,65,2.1000000000000014,2
male,no,27000,oppose,66.6,69,2.4000000000000057,100
male,no,66900,oppose,70,73,3,95
female,no,73000,oppose,67.1,69,1.9000000000000057,4
male,no,47500,favor,65.2,67,1.7999999999999972,97
male,no,14800,oppose,73.8,76,2.200000000000003,93
male,no,30900,favor,71.5,74,2.5,98
male,no,6100,oppose,73.1,75,1.9000000000000057,98
female,no,36400,favor,60.1,62,1.8999999999999986,6
female,no,12200,oppose,65.9,67,1.0999999999999943,12
male,no,22700,favor,66.9,69,2.0999999999999943,63
female,no,39300,oppose,58.5,60,1.5,2
female,no,87300,favor,62.8,64,1.2000000000000028,5
female,no,21400,favor,64.1,66,1.9000000000000057,11
female,no,31500,oppose,66.5,68,1.5,12
male,no,4400,oppose,63.2,66,2.799999999999997,96
male,no,51300,favor,70.7,73,2.299999999999997,96
male,no,9500,oppose,69.9,72,2.0999999999999943,92
female,no,28200,favor,58.9,60,1.1000000000000014,25
male,no,78100,oppose,70.3,72,1.7000000000000028,99
female,no,44400,oppose,64.1,66,1.9000000000000057,15
male,no,24800,favor,67.9,71,3.0999999999999943,90
female,no,34500,oppose,67.4,69,1.5999999999999943,9
male,no,46200,oppose,72.9,75,2.0999999999999943,92
male,no,27600,favor,68.1,71,2.9000000000000057,95
female,no,40300,oppose,66.5,68,1.5,12
female,no,90500,oppose,58.7,60,1.2999999999999972,8
male,no,35700,oppose,71.6,74,2.4000000000000057,96
male,no,62800,oppose,72.2,74,1.7999999999999972,94
male,no,8100,oppose,66.7,69,2.299999999999997,92
male,no,62600,favor,71.1,73,1.9000000000000057,92
female,no,25300,oppose,68.3,70,1.7000000000000028,4
female,no,16700,oppose,65,66,1,6
female,no,42000,oppose,64,65,1,25
female,no,12100,oppose,63.6,66,2.3999999999999986,16
male,no,43400,oppose,61.9,64,2.1000000000000014,99
male,no,21200,favor,70.8,73,2.200000000000003,92
male,no,5900,favor,68.7,71,2.299999999999997,95
male,no,15500,oppose,64.2,67,2.799999999999997,98
male,no,93300,favor,66.9,70,3.0999999999999943,95
male,no,35500,oppose,66.3,69,2.700000000000003,99
female,no,54200,favor,63.1,64,0.8999999999999986,1
female,no,17300,oppose,67.1,68,0.9000000000000057,12
female,no,18900,oppose,66.5,68,1.5,19
female,no,23900,favor,58.8,61,2.200000000000003,3
male,no,18200,oppose,69.7,72,2.299999999999997,88
male,no,16400,oppose,68.3,71,2.700000000000003,98
female,no,42000,favor,68.7,70,1.2999999999999972,12
female,yes,30700,oppose,65.7,67,1.2999999999999972,5
female,no,44500,oppose,67.2,68,0.7999999999999972,2
male,no,51600,favor,73.4,75,1.5999999999999943,79
female,no,46500,favor,61.1,63,1.8999999999999986,16
female,no,29100,oppose,63.7,65,1.2999999999999972,10
male,no,10800,oppose,67.4,70,2.5999999999999943,89
male,no,14800,favor,72.4,75,2.5999999999999943,95
male,no,92800,favor,74.5,77,2.5,99
female,no,30300,oppose,56.4,58,1.6000000000000014,14
female,no,23200,oppose,66.1,68,1.9000000000000057,44
female,no,47300,favor,61.5,63,1.5,33
female,no,32600,favor,70,72,2,18
male,no,41900,oppose,65.1,68,2.9000000000000057,66
male,no,57800,oppose,65.1,68,2.9000000000000057,93
male,no,15900,favor,72.5,75,2.5,96
male,no,39500,favor,73.1,75,1.9000000000000057,82
female,no,27300,favor,59.2,61,1.7999999999999972,0
male,no,22500,oppose,68.8,71,2.200000000000003,82
female,no,45500,favor,63.5,65,1.5,13
male,no,34700,oppose,66.8,69,2.200000000000003,91
female,no,75600,favor,61.2,63,1.7999999999999972,6
male,no,22100,oppose,66.5,70,3.5,100
male,no,52300,oppose,69.5,72,2.5,96
male,no,6500,oppose,65,68,3,98
female,no,58100,favor,71,73,2,2
male,no,25000,favor,69.6,72,2.4000000000000057,88
female,no,15000,oppose,65.2,67,1.7999999999999972,16
male,no,71100,oppose,74.6,77,2.4000000000000057,96
female,no,74400,oppose,67.5,69,1.5,16
female,no,10600,oppose,63.1,65,1.8999999999999986,15
male,no,41700,favor,67.2,69,1.7999999999999972,100
male,no,40200,oppose,72.2,74,1.7999999999999972,80
female,no,27400,oppose,65.3,66,0.7000000000000028,5
male,no,37700,oppose,64.9,67,2.0999999999999943,98
female,no,23400,favor,64,65,1,2
male,no,80600,oppose,67,69,2,83
male,no,4500,oppose,72.1,74,1.9000000000000057,97
male,no,77700,oppose,67.9,70,2.0999999999999943,90
female,no,40000,oppose,65.4,67,1.5999999999999943,13
male,no,92500,favor,75.5,78,2.5,93
female,no,1800,favor,67.6,70,2.4000000000000057,5
male,no,24200,oppose,75.9,78,2.0999999999999943,87
male,no,89200,oppose,70.8,74,3.200000000000003,93
female,no,52600,oppose,63.5,65,1.5,5
male,no,33500,oppose,69.9,73,3.0999999999999943,98
female,no,20400,oppose,58.6,61,2.3999999999999986,5
female,no,10000,oppose,70.1,71,0.9000000000000057,22
female,no,83700,oppose,65.4,67,1.5999999999999943,13
female,no,9300,oppose,68.2,70,1.7999999999999972,10
male,no,26700,oppose,67.6,70,2.4000000000000057,97
female,no,21000,oppose,62.4,64,1.6000000000000014,5
female,no,53500,oppose,69.8,71,1.2000000000000028,18
male,no,13300,favor,69.6,72,2.4000000000000057,81
female,no,77000,oppose,62,64,2,6
male,no,14000,oppose,70,72,2,88
female,no,20200,favor,68.2,70,1.7999999999999972,6
female,no,24700,favor,63.1,65,1.8999999999999986,2
male,no,92900,oppose,70.3,73,2.700000000000003,97
male,no,16300,oppose,72,74,2,95
female,no,48900,oppose,61.2,62,0.7999999999999972,1
female,no,12400,favor,64.3,66,1.7000000000000028,2
female,no,108000,favor,64,65,1,0
male,no,35000,oppose,67.6,70,2.4000000000000057,91
male,no,17300,oppose,72.8,76,3.200000000000003,89
male,no,3500,favor,63.6,66,2.3999999999999986,99
female,no,26600,oppose,64.5,66,1.5,1
male,no,17700,oppose,67,69,2,95
female,no,42800,oppose,64.6,66,1.4000000000000057,2
male,no,58600,oppose,70.7,73,2.299999999999997,91
female,no,62900,oppose,64.6,66,1.4000000000000057,8
female,no,50300,favor,61.8,63,1.2000000000000028,9
female,no,26900,oppose,67.8,70,2.200000000000003,2
male,no,52500,oppose,70.2,73,2.799999999999997,91
male,no,57200,favor,69.1,72,2.9000000000000057,99
female,no,4700,oppose,61.1,63,1.8999999999999986,0
female,no,47600,oppose,63.2,65,1.7999999999999972,14
male,no,57400,oppose,65,68,3,99
male,no,47900,oppose,74.7,77,2.299999999999997,93
female,no,22400,favor,68.5,70,1.5,1
male,yes,45100,favor,64,67,3,99
male,no,72900,oppose,66,68,2,96
male,no,12400,oppose,69.5,72,2.5,95
female,no,39600,favor,65.5,67,1.5,2
male,no,58300,oppose,70.1,73,2.9000000000000057,94
female,no,66000,favor,64.2,66,1.7999999999999972,22
female,no,25200,oppose,63.8,65,1.2000000000000028,1
male,no,52500,oppose,73,76,3,93
male,no,19200,favor,77,79,2,99
male,no,107400,oppose,71.1,74,2.9000000000000057,76
female,no,31100,oppose,65.7,67,1.2999999999999972,5
male,no,32800,oppose,68.8,71,2.200000000000003,94
female,no,53400,favor,69.8,71,1.2000000000000028,3
male,no,19600,favor,73.5,76,2.5,77
male,no,22200,oppose,70.7,73,2.299999999999997,99
male,no,25600,oppose,70.3,73,2.700000000000003,99
female,no,31900,favor,67.1,68,0.9000000000000057,1
female,no,10200,oppose,64.6,66,1.4000000000000057,0
female,no,23600,oppose,67.5,69,1.5,13
male,no,33900,oppose,72.6,75,2.4000000000000057,98
male,no,24700,favor,68.1,70,1.9000000000000057,98
female,no,21400,oppose,66,68,2,16
female,no,54600,oppose,71.5,72,0.5,15
female,no,17500,oppose,65,66,1,15
male,no,103800,oppose,65.1,68,2.9000000000000057,99
female,no,35900,favor,65.8,67,1.2000000000000028,4
male,no,35800,favor,73.4,76,2.5999999999999943,91
female,no,47400,favor,68.5,69,0.5,14
female,no,34200,oppose,62.9,65,2.1000000000000014,18
female,no,5400,favor,63.5,65,1.5,14
male,no,58900,oppose,71.9,75,3.0999999999999943,96
female,no,75400,oppose,60.2,61,0.7999999999999972,4
male,yes,10900,oppose,65.6,68,2.4000000000000057,97
female,no,16300,oppose,63.5,65,1.5,8
female,no,2700,favor,68.8,70,1.2000000000000028,13
male,no,46900,oppose,70.3,73,2.700000000000003,97
female,no,7500,oppose,73.2,74,0.7999999999999972,2
female,no,65600,oppose,65.4,66,0.5999999999999943,11
male,no,47700,oppose,70,73,3,96
female,no,13400,oppose,61.5,64,2.5,16
female,no,33100,oppose,72,74,2,26
male,yes,64600,favor,68,71,3,92
male,no,23900,favor,68.2,70,1.7999999999999972,95
female,no,108900,oppose,68.8,70,1.2000000000000028,6
male,no,32800,favor,68.8,71,2.200000000000003,91
female,no,37600,favor,61.2,62,0.7999999999999972,27
female,no,26300,oppose,61.3,63,1.7000000000000028,11
female,no,60700,favor,71.6,73,1.4000000000000057,7
male,no,55100,oppose,74.2,77,2.799999999999997,87
male,no,77100,oppose,73.3,76,2.700000000000003,96
female,no,19700,oppose,66,67,1,4
male,no,68200,favor,71.4,74,2.5999999999999943,95
male,no,43100,oppose,75.3,78,2.700000000000003,63
female,no,25400,oppose,62,63,1,6
female,no,5100,oppose,66.4,68,1.5999999999999943,17
male,no,43900,favor,68.3,71,2.700000000000003,91
female,no,59300,oppose,62.6,64,1.3999999999999986,2
male,no,18500,oppose,66.1,69,2.9000000000000057,91
male,no,27000,favor,72.6,75,2.4000000000000057,95
male,no,13500,favor,70,72,2,98
female,no,106800,oppose,64,65,1,17
female,no,15100,favor,63.3,65,1.7000000000000028,18
female,no,28600,oppose,72.4,74,1.5999999999999943,6
female,yes,66800,oppose,64,65,1,14
male,no,12100,favor,68.4,71,2.5999999999999943,93
male,no,8200,favor,72.5,75,2.5,97
male,no,121800,oppose,65.2,68,2.799999999999997,87
female,no,29400,oppose,67.9,69,1.0999999999999943,22
female,no,36000,oppose,63.1,65,1.8999999999999986,28
female,no,16000,oppose,66.4,68,1.5999999999999943,7
female,no,12300,oppose,62.7,65,2.299999999999997,22
female,no,8100,oppose,66.8,68,1.2000000000000028,0
male,no,8800,oppose,71.5,73,1.5,83
female,no,54600,favor,65.5,67,1.5,2
female,no,29500,oppose,69.9,71,1.0999999999999943,15
male,no,44200,favor,68.5,71,2.5,91
female,no,11000,oppose,60.9,63,2.1000000000000014,1
female,no,17400,oppose,68.2,70,1.7999999999999972,4
female,no,38100,oppose,62.8,65,2.200000000000003,20
male,no,14600,oppose,66,68,2,98
male,no,30900,favor,68,70,2,96
male,no,31400,oppose,69.5,71,1.5,80
female,no,17000,oppose,67.6,70,2.4000000000000057,16
male,no,79900,oppose,73.4,76,2.5999999999999943,92
male,no,40700,oppose,72.5,75,2.5,54
male,no,75000,oppose,68.9,71,2.0999999999999943,91
female,no,29800,oppose,68,70,2,11
female,no,24500,oppose,63.4,65,1.6000000000000014,21
female,no,71800,oppose,63.7,65,1.2999999999999972,8
female,no,27100,oppose,68.2,70,1.7999999999999972,29
female,no,30300,oppose,60.3,62,1.7000000000000028,26
male,no,30300,oppose,70.7,73,2.299999999999997,91
female,no,33100,oppose,63.6,65,1.3999999999999986,10
male,no,67200,favor,73.2,76,2.799999999999997,84
female,no,9800,oppose,67.2,69,1.7999999999999972,22
female,yes,22400,oppose,62.7,65,2.299999999999997,23
female,no,30000,favor,63.9,65,1.1000000000000014,10
female,no,15800,oppose,57.7,59,1.2999999999999972,7
male,no,4500,favor,73.6,76,2.4000000000000057,92
male,no,28000,oppose,68.6,71,2.4000000000000057,98
female,no,67800,oppose,67.7,69,1.2999999999999972,2
female,no,54900,oppose,67.6,69,1.4000000000000057,1
male,no,12800,oppose,74.4,77,2.5999999999999943,83
female,yes,41600,oppose,58.1,60,1.8999999999999986,4
female,no,40000,oppose,65.5,67,1.5,15
male,no,25500,favor,69.6,72,2.4000000000000057,96
male,no,31900,oppose,71,74,3,98
female,no,30200,oppose,66.1,67,0.9000000000000057,0
male,no,30300,oppose,69.8,72,2.200000000000003,91
female,no,50200,favor,63.3,65,1.7000000000000028,3
female,no,19400,oppose,69.8,71,1.2000000000000028,1
female,no,8900,oppose,62.7,64,1.2999999999999972,3
female,no,27300,oppose,70.6,72,1.4000000000000057,16
male,yes,72600,favor,67.1,70,2.9000000000000057,65
female,no,35100,oppose,63.7,65,1.2999999999999972,5
female,no,58400,oppose,64.4,65,0.5999999999999943,8
female,no,20600,oppose,66,68,2,3
female,no,2800,favor,64.5,66,1.5,11
male,no,46300,oppose,70.1,73,2.9000000000000057,99
male,no,23900,oppose,77.4,80,2.5999999999999943,94
male,no,10500,oppose,78.5,81,2.5,55
male,no,25500,favor,64.7,68,3.299999999999997,95
female,no,23100,oppose,69,70,1,0
female,no,64800,oppose,62.3,64,1.7000000000000028,3
male,no,33900,oppose,67.1,69,1.9000000000000057,89
male,no,6200,oppose,64.9,67,2.0999999999999943,81
male,no,21400,oppose,69.9,72,2.0999999999999943,100
male,no,17800,oppose,70.3,73,2.700000000000003,96
male,no,66100,oppose,68.4,71,2.5999999999999943,78
female,no,8000,oppose,62.7,64,1.2999999999999972,15
male,no,8400,oppose,72,74,2,99
male,no,36100,oppose,65.5,68,2.5,91
female,no,3400,oppose,62.8,64,1.2000000000000028,10
female,no,33400,favor,65.8,68,2.200000000000003,3
female,no,18200,oppose,62.9,64,1.1000000000000014,0
male,no,17700,favor,67.2,70,2.799999999999997,98
male,no,22800,favor,71.3,74,2.700000000000003,82
male,no,42800,favor,67.9,70,2.0999999999999943,81
female,no,3500,oppose,63.1,64,0.8999999999999986,4
male,no,18700,oppose,69.4,72,2.5999999999999943,98
male,no,9300,favor,66.4,69,2.5999999999999943,91
male,no,6100,oppose,66.3,69,2.700000000000003,85
male,no,48200,favor,71.5,74,2.5,88
male,no,12800,favor,75,77,2,90
male,no,78900,favor,65.2,68,2.799999999999997,90
male,no,30900,favor,74.2,77,2.799999999999997,83
male,no,60700,oppose,70.2,72,1.7999999999999972,95
female,no,81500,oppose,64.5,66,1.5,1
female,no,20300,oppose,61.3,63,1.7000000000000028,11
male,no,20700,favor,71.1,74,2.9000000000000057,62
male,no,17500,favor,70.3,72,1.7000000000000028,74
male,no,113600,oppose,73.9,76,2.0999999999999943,95
male,no,34100,oppose,71.8,75,3.200000000000003,87
female,no,15900,oppose,65.5,67,1.5,5
female,no,30600,oppose,65.2,67,1.7999999999999972,4
female,no,30800,oppose,64.3,66,1.7000000000000028,8
female,no,42500,oppose,67.6,69,1.4000000000000057,9
male,no,43700,oppose,67.4,69,1.5999999999999943,99
female,no,6800,oppose,72,74,2,17
male,no,41700,favor,71,74,3,99
male,no,38100,oppose,73,76,3,99
male,yes,34600,oppose,71.6,74,2.4000000000000057,95
male,no,29000,oppose,68.9,72,3.0999999999999943,90
female,no,33200,oppose,64.9,66,1.0999999999999943,6
male,no,73300,favor,72.5,75,2.5,95
female,no,53800,oppose,65.6,67,1.4000000000000057,2
male,no,33900,oppose,72.3,75,2.700000000000003,90
female,no,10300,oppose,67.3,69,1.7000000000000028,5
female,no,27700,oppose,65.2,66,0.7999999999999972,15
male,no,63700,oppose,65.6,68,2.4000000000000057,100
male,no,39600,oppose,75.1,78,2.9000000000000057,92
female,no,47100,oppose,59,61,2,10
male,no,20700,favor,74,77,3,97
female,no,13700,oppose,70.4,72,1.5999999999999943,0
female,yes,58800,oppose,60.9,63,2.1000000000000014,3
male,no,11800,oppose,68,71,3,89
male,no,48900,oppose,72,75,3,79
male,no,89200,favor,69.9,72,2.0999999999999943,88
male,no,32700,oppose,71.5,75,3.5,96
male,no,29400,oppose,64,67,3,97
male,yes,23600,favor,62.5,65,2.5,99
female,no,30500,oppose,63.2,65,1.7999999999999972,21
female,no,5700,oppose,60,62,2,4
male,no,29100,oppose,72.5,75,2.5,72
male,no,62500,oppose,72.1,75,2.9000000000000057,99
male,no,79000,favor,71,74,3,88
male,no,89700,oppose,65.9,68,2.0999999999999943,86
female,no,33500,oppose,62.3,64,1.7000000000000028,2
female,no,47200,oppose,62.5,64,1.5,0
male,no,37200,favor,67.9,70,2.0999999999999943,84
male,no,28900,favor,67.7,70,2.299999999999997,75
female,no,63100,oppose,64.7,67,2.299999999999997,2
female,no,50100,oppose,65.1,67,1.9000000000000057,6
female,no,70600,oppose,68.9,71,2.0999999999999943,2
male,no,45100,favor,69.4,72,2.5999999999999943,89
female,no,14700,oppose,60.1,62,1.8999999999999986,24
male,no,46800,favor,64.6,67,2.4000000000000057,99
male,no,29500,oppose,68.2,70,1.7999999999999972,65
female,no,38300,oppose,64.5,66,1.5,17
female,no,43800,oppose,67.7,70,2.299999999999997,7
male,no,40500,oppose,68.3,70,1.7000000000000028,96
male,no,6100,oppose,68,71,3,98
female,no,40700,oppose,64.2,65,0.7999999999999972,1
female,no,32800,oppose,72.6,74,1.4000000000000057,5
male,no,27100,oppose,67.2,70,2.799999999999997,84
male,no,40100,oppose,73.9,76,2.0999999999999943,98
female,no,15900,oppose,62.7,64,1.2999999999999972,3
male,no,10600,oppose,75.4,78,2.5999999999999943,90
female,no,9500,oppose,61.6,63,1.3999999999999986,4
female,no,42000,oppose,64.1,65,0.9000000000000057,6
female,no,3300,oppose,66.2,68,1.7999999999999972,0
female,no,12800,favor,67.8,70,2.200000000000003,15
male,no,13400,favor,67.4,70,2.5999999999999943,87
female,no,34600,oppose,61.4,63,1.6000000000000014,7
female,no,16000,oppose,61.7,63,1.2999999999999972,35
male,no,30300,oppose,72.4,75,2.5999999999999943,87
female,no,36700,favor,65.6,67,1.4000000000000057,4
female,no,25400,oppose,62.2,63,0.7999999999999972,2
female,no,73600,oppose,62.8,64,1.2000000000000028,10
male,no,77800,oppose,69.1,71,1.9000000000000057,96
male,no,38800,favor,72.9,75,2.0999999999999943,94
female,yes,50200,favor,62,63,1,4
male,no,54400,favor,69,71,2,98
male,no,79000,oppose,67.7,70,2.299999999999997,95
female,no,7000,oppose,65,67,2,5
female,no,10100,oppose,64.9,67,2.0999999999999943,22
female,no,63800,favor,66.7,69,2.299999999999997,21
male,no,77200,oppose,68.4,71,2.5999999999999943,84
male,no,114400,oppose,67.3,70,2.700000000000003,91
male,no,9900,oppose,71.5,74,2.5,94
male,no,23300,oppose,73.5,76,2.5,95
female,no,79200,oppose,63.8,66,2.200000000000003,10
female,no,93900,favor,64.2,65,0.7999999999999972,6
male,no,33100,oppose,66.1,69,2.9000000000000057,100
male,no,25200,oppose,69.3,72,2.700000000000003,96
male,no,30400,favor,69,71,2,96
male,no,48100,oppose,71.7,75,3.299999999999997,100
female,yes,55300,favor,64,65,1,2
male,no,5000,oppose,72.6,75,2.4000000000000057,89
female,no,82300,favor,57.5,59,1.5,27
male,no,24600,oppose,73.3,76,2.700000000000003,97
male,no,83900,favor,75.1,77,1.9000000000000057,93
male,no,45800,oppose,70.9,73,2.0999999999999943,96
male,no,33000,oppose,66.2,69,2.799999999999997,78
male,no,45300,oppose,73.2,76,2.799999999999997,96
female,no,24100,oppose,69.3,70,0.7000000000000028,21
male,no,8600,favor,72.3,75,2.700000000000003,96
male,no,53000,favor,69.7,73,3.299999999999997,86
male,no,35200,favor,67.4,70,2.5999999999999943,95
male,no,65400,oppose,72.4,75,2.5999999999999943,98
male,no,31600,oppose,70.3,73,2.700000000000003,91
female,no,42300,oppose,68.5,70,1.5,2
female,yes,29800,oppose,66.7,68,1.2999999999999972,2
male,no,15800,favor,68.8,72,3.200000000000003,91
female,no,82800,oppose,65.6,67,1.4000000000000057,9
female,no,41600,favor,68.2,69,0.7999999999999972,9
female,no,58000,oppose,67.4,69,1.5999999999999943,4
female,no,38700,oppose,67.8,70,2.200000000000003,7
female,no,81400,favor,64.5,66,1.5,10
female,no,28000,oppose,61.8,63,1.2000000000000028,2
male,no,12400,oppose,73.5,76,2.5,91
male,no,63800,oppose,69.2,72,2.799999999999997,92
male,no,49000,oppose,72.4,75,2.5999999999999943,82
male,no,25100,oppose,68.8,71,2.200000000000003,99
female,no,85100,favor,59.4,61,1.6000000000000014,4
female,no,66200,oppose,65.4,67,1.5999999999999943,8
male,no,45400,favor,68.8,71,2.200000000000003,100
female,no,35500,oppose,65.5,67,1.5,10
male,no,69200,oppose,66.1,69,2.9000000000000057,95
female,no,13400,oppose,67.2,69,1.7999999999999972,16
female,no,15700,favor,67.8,69,1.2000000000000028,2
female,no,23500,oppose,66.8,68,1.2000000000000028,24
female,no,44500,oppose,63.9,65,1.1000000000000014,35
male,no,12900,favor,68.7,71,2.299999999999997,96
female,no,15100,favor,61.9,64,2.1000000000000014,10
male,no,41000,oppose,70.2,73,2.799999999999997,99
male,no,12800,favor,68.5,71,2.5,93
male,no,21200,favor,68.5,71,2.5,95
female,no,17100,oppose,71.1,73,1.9000000000000057,6
female,no,15400,oppose,60.5,62,1.5,16
male,no,38700,oppose,70,73,3,94
female,no,42700,oppose,63.2,65,1.7999999999999972,19
male,no,38600,oppose,71.3,74,2.700000000000003,100
male,no,24600,oppose,70.5,74,3.5,78
male,no,62900,oppose,71.4,74,2.5999999999999943,76
female,no,17300,oppose,67.6,69,1.4000000000000057,11
female,no,17100,oppose,65.4,67,1.5999999999999943,2
male,no,91600,oppose,70.8,73,2.200000000000003,95
male,no,57900,favor,64.8,67,2.200000000000003,96
male,no,37400,oppose,73.3,76,2.700000000000003,80
female,no,50900,oppose,63.4,65,1.6000000000000014,4
male,no,43300,favor,68.3,71,2.700000000000003,88
male,no,39700,oppose,66.7,69,2.299999999999997,97
female,no,11000,oppose,64.1,66,1.9000000000000057,1
male,no,9300,oppose,71,73,2,92
male,no,24800,favor,70,73,3,99
male,no,14100,favor,72.6,75,2.4000000000000057,93
female,no,32700,oppose,59.8,62,2.200000000000003,1
female,no,8000,favor,62.1,64,1.8999999999999986,3
male,no,23600,oppose,70.5,73,2.5,84
female,yes,25900,oppose,67.4,69,1.5999999999999943,3
female,no,99900,oppose,61.7,63,1.2999999999999972,4
male,no,65900,favor,65.8,68,2.200000000000003,98
male,no,41600,favor,72,75,3,100
female,no,28900,oppose,65.1,67,1.9000000000000057,12
female,no,8100,oppose,62.7,64,1.2999999999999972,15
female,no,1000,favor,63.7,65,1.2999999999999972,6
female,no,42100,oppose,63.7,65,1.2999999999999972,4
